# series	version	ci_image	status
4.9	4.9.337	esp-hosted-linux-ci:gcc9	eol
4.14	4.14.336	esp-hosted-linux-ci:gcc9	eol
4.19	4.19.325	esp-hosted-linux-ci:gcc9	eol
5.4	5.4.302	esp-hosted-linux-ci:gcc9	eol
5.10	5.10.266	esp-hosted-linux-ci:gcc9	lts
5.15	5.15.217	esp-hosted-linux-ci:gcc11	lts
6.1	6.1.184	esp-hosted-linux-ci:gcc11	lts
6.6	6.6.153	esp-hosted-linux-ci:gcc11	lts
6.12	6.12.105	esp-hosted-linux-ci:gcc13	lts
6.18	6.18.46	esp-hosted-linux-ci:gcc13	lts
7.x	7.2	esp-hosted-linux-ci:gcc13	current
